,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Sudan,0.111274419,0.721983886,0.158190946,0,0.043693558,0.384049348,0.096092617,0,0.168802353,0.031245756,0.126026776,0.019640161,0.123275837,0.074954866,0.133768737,2.319682959,0.162724359,0.160500899,0.040405924,0.452855273,0.18275189,0.056777538,0.220931875,0.486947802,0.23840141,0.176721178,0.047167789,1.565041791,0.084893254,0.484132555,0.074122945,0.004657831,0.078610976,0.325245435,1.568433728,0.246932691,0.045414025,0.012687042,0.142833568,0,0.019376679,1.00254934,0.385069554,0.093531928,0.2351269,0.720106787,0.378859491,0.114623857,0.179150892,0.064563322,0.051883366
South_Africa,0.38499759,0.170904398,0.290843393,0.515721402,0.181559541,0.441323117,0.357710042,0.30724326,0.303631905,0.262051667,0.568337692,0.187544287,0.389241029,0.145566975,0.29226783,0.334067224,0.43033731,0.588692343,0.242953569,0.828849789,0.309389997,0.284491707,0.248602974,0.34396531,0.681972519,0.375678797,0.394494233,0.357603635,0.186118677,0.240855946,0.182227186,0.216330354,0.16252825,0.464447599,1.182500232,0.32174961,0.243890132,0.362068671,0.284998127,0.028994302,0.512532152,1.008278193,0.436047349,0.209456781,0.233236813,0.291555431,0.243993748,0.256412374,0.385343429,0.287444151,0.409878593
Cabo_Verde,0,0,0.015724117,0,0.003191962,0.004077744,0.186814789,0,0.076438801,0.022243894,0.028838222,0.003465911,0,0.001973981,0.009835937,0,0,0,0,0.081015393,0.008515321,2.581824802,0.001310736,0.002974376,0,0,0,0,0,0.033889279,0.014705356,0,0.005740866,0.020778235,0,0.006818291,0.077792542,0,0.006021087,4.711236978,0.005319088,0,0.006336223,0.001036709,0.008316386,0.080792469,0.008704035,0.001927223,0,0,0
Ghana,0.133291283,0.190087545,0.094028107,0.268661149,0.084873686,0.52955067,0.946349248,1.694227119,0.438461457,0.06657296,0.94782248,0.063541699,0.036885684,0.381260268,0.311096623,0.25950389,0.339172458,0.386223011,0.187006905,0.226427637,1.607212259,0.90403992,0.213795645,0.525827142,0.066463423,0.569564946,0.300158655,0.220872833,0.063967662,0.272324562,0.775459145,0.096779369,0.783159274,0.478139615,1.179412764,1.895853374,0.549593797,0.203480641,0.599767185,0.236674421,0.091184371,0.297900375,0.345036145,0.235809935,0.142134589,0.396936912,1.589469054,0.119671344,0.763926447,0.302211294,0.103766732
Liberia,0.170184406,0.092427889,0.115239835,0.063452633,0.03016117,0.113064721,0.085543527,1.045724381,0.205960103,0.047798297,0.380608355,0.000385101,0.009706759,0.056737845,0.142480567,1.613973286,0.008822405,0.352194552,0.017612839,0.162030786,0.7674706,0.276725783,0.243505666,2.447698789,0.112698848,0.456822296,0.060031731,0.053289953,0.060054747,0.330420469,0.372254172,0.012938418,0.099881912,0.515372291,8.672697521,0.394355192,0.175769095,0.065387065,1.349615542,2.157041233,0.240118844,3.57766893,0.151493333,0.119719209,0.042337963,0.087817901,0.18437579,0.067269245,0.385343429,0.191629434,0
Nigeria,1.005635127,0.533640264,0.298547155,0.187657788,0.294224317,0.379415548,0.5997637,2.50293527,1.991655431,0.240011845,2.22943802,0.042361133,0.084448802,0.99922902,2.746193493,0.505504183,0.499936283,0.803638777,1.057288348,0.515174806,4.172725645,0.766496765,0.862027534,1.357165165,0.911704787,1.079442607,0.05574375,0.497840355,0.27475472,0.521652829,1.097188495,0.68418356,0.742401416,0.877249874,2.500849054,1.224343878,1.197164146,0.137849595,1.096060871,2.130744075,0.504173585,0.209103148,1.086662251,1.732694002,0.143646659,0.8325137,0.643443428,0.200064057,1.53799351,0.661087205,1.281519145
Senegal,0.091637757,0.026158836,0.017940267,0.049277045,0.01488945,0.098607265,0.06118472,0,0.246302804,0.013219358,0.080428678,0.005006316,0,0.053353878,0.121684587,0.008806693,0.184780371,0.39699869,0.020720987,0.002077318,0.248254359,0.073689996,0.075440153,0.05693805,0.10691942,0.071390675,0,0.024541426,0.067540324,0.025416959,0.0578775,0,0.153631052,0.10401128,0.04631202,0.42512964,0.07400804,0.014882877,0.041813105,0.419405954,0.069148148,0,0.150053282,0.032594146,0,0.056203457,0.069632278,0.053595142,0.182531098,0.06250279,0.181591782
Sierra_Leone,0.050579282,0.204038924,0.043478766,0.047251961,0.019763403,0.01575492,0.027811237,0.472935161,0.351406155,0.011972249,0.137917862,0.014248745,0,0.008290719,0.055643298,0.156759137,0.025486948,0.011909961,0,0,1.138760431,0.11648887,0.120442097,0.315071374,0.102584849,0.134198864,0,0,0.004763549,0.114981482,0.120772707,0.016043639,0.06568831,0.181479266,0.037049616,0.421628355,0.05550603,0.03074168,0.375202933,0.148342942,0,0.020050987,0.031681115,0.059196111,0.027217262,0.042152592,0.526547306,0.023493761,0.081124932,0.028847442,0
Australia,0.312401445,0.465627289,0.167688734,0.279461598,0.21950948,0.580707822,0.207721166,0.099854059,0.697504061,0.123803937,0.190819146,0.430543147,0.401859815,0.143254598,0.205992615,0.214883311,0.163704626,0.274496237,0.170948141,0.945179584,0.224018445,0.226851289,0.189037293,0.20416965,0.349655402,0.359684165,0.561725483,0.170387614,0.166724226,0.292900196,0.109147527,0.107130104,0.288026773,0.207902455,0.21303529,0.295766394,0.207306612,0.431115459,0.249652115,0.080914332,0.246197802,0.105983787,0.22925607,0.152873178,0.535272815,1.025713081,0.212827688,0.427935183,0.703082747,0.234213753,0.648542077
Fiji,0.041058476,0.795228628,0.055403767,0.005400224,0.35471868,0.009638304,0.00824747,0,0.01592475,0.006847764,0.009082167,0.141717243,0.041739063,0.010490297,0.028383703,0,0.02303628,0.001134282,0,0,0.019432399,0.016567306,0.02810801,0.008285761,0,0.007412147,0.175807212,0,0.105648719,0,0.006060991,0.032604814,0.002401557,0.015733808,0,0.0058969,0.01892251,0.422088141,0.025199365,0.041805738,0.013297721,0.014322133,0,0.008107068,0.058214699,0,0.020870965,0.239250916,0,0.006181595,0
